,lat,lon,elevation_ft,precip_in,month,year
143,36.37,118.65,8500,7.51,Jan,2010
144,36.14,117.95,3825,4.00,Jan,2010
145,37.94,119.79,3870,6.37,Jan,2010
147,36.32,119.63,242,2.33,Jan,2010
148,38.62,122.87,108,16.77,Jan,2010
149,39.24,121.27,800,8.32,Jan,2010
151,37.23,119.22,7020,9.40,Jan,2010
152,36.85,121.42,275,4.61,Jan,2010
154,41.80,123.38,1120,9.01,Jan,2010
155,40.36,122.97,2750,10.62,Jan,2010
156,36.18,118.62,7100,8.21,Jan,2010
158,40.62,123.46,1275,10.00,Jan,2010
161,36.80,118.20,3950,1.22,Jan,2010
162,35.65,117.82,2440,1.39,Jan,2010
163,32.83,115.58,0,2.09,Jan,2010
164,35.63,118.48,2515,3.35,Jan,2010
165,41.79,124.08,120,15.12,Jan,2010
166,41.27,120.29,5400,1.27,Jan,2010
168,34.49,119.51,2200,9.79,Jan,2010
171,36.21,121.13,320,4.62,Jan,2010
172,41.58,124.07,28,15.09,Jan,2010
174,35.78,118.44,2703,3.78,Jan,2010
175,33.55,117.78,35,6.67,Jan,2010
179,37.21,118.61,9065,2.09,Jan,2010
182,33.94,118.39,97,4.30,Jan,2010
184,36.60,118.73,6735,8.00,Jan,2010
185,36.38,119.03,513,3.40,Jan,2010
188,37.96,119.12,6797,3.83,Jan,2010
189,33.81,118.15,31,6.89,Jan,2010
191,36.20,119.06,420,3.24,Jan,2010
192,34.27,117.18,5130,17.04,Jan,2010
195,37.05,120.87,120,2.62,Jan,2010
197,34.21,119.14,63,6.01,Jan,2010
198,34.73,120.22,800,6.73,Jan,2010
199,39.32,120.64,5156,14.48,Jan,2010
202,34.23,117.48,2730,14.78,Jan,2010
203,37.88,119.86,4510,6.85,Jan,2010
206,37.29,120.51,153,3.18,Jan,2010
208,41.25,122.14,3280,18.29,Jan,2010
209,36.95,120.04,270,2.48,Jan,2010
211,37.35,121.63,4198,6.64,Jan,2010
212,41.32,122.32,3590,15.62,Jan,2010
214,40.35,121.61,4875,13.98,Jan,2010
216,38.69,119.78,5530,2.84,Jan,2010
219,36.24,118.71,5400,7.60,Jan,2010
221,40.54,121.58,5750,6.67,Jan,2010
222,37.65,121.00,91,4.70,Jan,2010
224,35.05,118.16,2735,2.57,Jan,2010
225,37.49,119.99,2100,6.84,Jan,2010
226,41.78,122.04,4250,2.11,Jan,2010
227,35.47,115.54,4730,2.47,Jan,2010
229,34.23,118.07,5733,13.03,Jan,2010
230,38.89,121.60,32,5.14,Jan,2010
231,35.69,117.69,2283,1.61,Jan,2010
232,33.28,115.52,-60,2.46,Jan,2010
233,38.00,120.49,960,8.01,Jan,2010
234,37.23,119.51,2630,7.95,Jan,2010
235,38.28,122.26,35,9.19,Jan,2010
236,39.25,121.00,2781,15.30,Jan,2010
237,40.03,124.07,246,15.29,Jan,2010
238,41.84,122.85,1980,3.02,Jan,2010
240,33.21,117.35,30,4.10,Jan,2010
242,39.75,122.20,254,9.36,Jan,2010
243,41.31,123.53,400,10.26,Jan,2010
244,39.52,121.55,171,7.43,Jan,2010
250,36.61,120.88,1400,4.36,Jan,2010
252,38.76,120.50,3450,9.12,Jan,2010
253,36.83,119.32,615,4.52,Jan,2010
256,38.70,120.83,1850,7.89,Jan,2010
257,34.59,118.09,2596,3.37,Jan,2010
258,39.37,123.13,1440,13.38,Jan,2010
259,39.81,120.47,4850,5.00,Jan,2010
260,35.63,120.69,700,5.72,Jan,2010
261,39.75,121.62,1725,18.49,Jan,2010
263,38.44,120.51,3000,8.12,Jan,2010
264,40.99,121.98,1458,19.94,Jan,2010
265,36.19,120.70,2300,8.48,Jan,2010
267,33.82,116.50,474,4.91,Jan,2010
268,40.98,121.51,2880,3.08,Jan,2010
271,39.94,120.95,3420,9.67,Jan,2010
272,35.37,117.65,357,2.54,Jan,2010
273,40.15,122.25,353,7.79,Jan,2010
275,40.52,122.30,502,9.92,Jan,2010
277,36.11,118.64,6200,6.21,Jan,2010
279,40.03,123.79,500,19.53,Jan,2010
282,40.81,121.94,2100,18.02,Jan,2010
286,38.51,121.50,21,4.79,Jan,2010
287,38.59,121.50,27,4.75,Jan,2010
288,32.73,117.18,15,3.38,Jan,2010
289,34.42,119.68,5,6.01,Jan,2010
290,34.13,117.25,1140,7.55,Jan,2010
291,35.31,120.66,315,6.11,Jan,2010
292,38.00,121.32,12,2.62,Jan,2010
293,40.49,124.10,36,16.23,Jan,2010
294,36.99,121.99,130,8.19,Jan,2010
295,36.06,118.92,692,2.67,Jan,2010
296,39.58,120.37,4975,3.53,Jan,2010
297,37.62,122.38,13,6.66,Jan,2010
298,37.77,122.43,150,6.66,Jan,2010
299,39.43,120.24,6337,6.14,Jan,2010
301,40.71,122.42,1075,21.78,Jan,2010
302,39.57,120.62,4240,13.35,Jan,2010
304,41.78,122.47,2644,2.38,Jan,2010
306,37.05,121.06,277,3.00,Jan,2010
307,38.72,120.57,3530,8.71,Jan,2010
311,38.56,121.42,49,4.75,Jan,2010
312,34.90,120.45,254,5.78,Jan,2010
313,33.68,117.87,50,6.89,Jan,2010
315,36.66,121.67,45,4.48,Jan,2010
316,39.33,120.37,6885,12.32,Jan,2010
317,37.97,120.39,1675,6.43,Jan,2010
318,37.17,118.57,9580,3.62,Jan,2010
319,38.50,120.22,3700,7.63,Jan,2010
320,34.31,119.13,237,6.88,Jan,2010
325,33.74,117.87,135,6.01,Jan,2010
328,41.74,121.51,4770,3.06,Jan,2010
329,39.88,123.73,850,18.59,Jan,2010
330,39.59,122.53,800,9.26,Jan,2010
331,38.44,122.70,174,9.48,Jan,2010
332,39.56,121.11,3808,20.47,Jan,2010
334,40.42,120.67,4555,3.02,Jan,2010
337,39.17,120.14,6230,7.68,Jan,2010
338,38.45,120.48,2355,8.74,Jan,2010
339,39.33,120.19,6020,4.80,Jan,2010
341,36.41,119.00,752,3.71,Jan,2010
344,37.68,121.35,135,4.13,Jan,2010
345,36.47,118.86,1140,4.80,Jan,2010
346,40.73,122.79,1860,10.48,Jan,2010
347,41.96,121.47,4035,1.49,Jan,2010
349,38.71,120.04,8000,7.84,Jan,2010
351,34.13,116.04,1975,1.72,Jan,2010
353,39.15,123.21,636,11.30,Jan,2010
354,39.13,123.20,626,13.82,Jan,2010
357,36.33,119.30,325,2.04,Jan,2010
360,40.46,121.87,2220,7.69,Jan,2010
362,39.81,120.19,4950,2.18,Jan,2010
364,35.60,119.35,345,2.26,Jan,2010
366,38.69,121.79,70,7.43,Jan,2010
367,40.73,122.94,2040,10.32,Jan,2010
370,40.95,123.64,461,7.11,Jan,2010
373,40.61,122.53,1295,22.46,Jan,2010
374,38.47,120.37,1950,9.02,Jan,2010
375,39.42,123.34,1350,13.29,Jan,2010
377,36.93,121.77,95,6.12,Jan,2010
378,41.37,122.64,2625,3.41,Jan,2010
379,37.51,119.65,5120,6.96,Jan,2010
380,37.75,119.59,3966,9.31,Jan,2010
386,37.09,119.51,2090,5.19,Feb,2010
387,40.98,124.11,223,5.36,Feb,2010
388,41.19,120.94,4195,1.70,Feb,2010
389,41.49,120.55,4400,0.27,Feb,2010
390,38.57,122.44,1715,6.71,Feb,2010
391,38.28,120.31,4695,8.22,Feb,2010
393,36.49,118.83,1708,5.98,Feb,2010
395,36.46,118.63,6400,9.32,Feb,2010
396,38.91,121.08,1292,4.17,Feb,2010
399,39.13,121.45,113,1.83,Feb,2010
400,34.89,117.02,2320,1.71,Feb,2010
401,40.74,123.21,1250,5.14,Feb,2010
402,34.24,116.90,6760,2.02,Feb,2010
403,37.21,119.24,4878,6.36,Feb,2010
404,38.21,119.01,8370,1.69,Feb,2010
408,35.43,119.05,497,1.77,Feb,2010
409,40.47,123.79,640,8.96,Feb,2010
410,37.37,118.36,4108,0.39,Feb,2010
411,36.26,121.78,200,9.40,Feb,2010
413,33.61,114.71,395,0.91,Feb,2010
415,39.28,120.71,5280,8.03,Feb,2010
416,40.88,121.68,3198,3.57,Feb,2010
417,39.39,120.09,5575,2.46,Feb,2010
418,39.45,120.66,5385,7.66,Feb,2010
420,38.26,119.23,6470,2.09,Feb,2010
421,39.69,121.35,3560,8.62,Feb,2010
422,36.68,118.86,6800,11.01,Feb,2010
423,39.92,121.35,1850,6.92,Feb,2010
424,40.87,121.85,3800,8.42,Feb,2010
427,40.17,121.09,4560,3.14,Feb,2010
429,41.42,120.90,4310,1.33,Feb,2010
430,34.58,119.98,800,4.92,Feb,2010
433,41.78,124.24,56,7.69,Feb,2010
434,41.80,124.21,40,9.55,Feb,2010
435,41.53,120.17,4670,0.21,Feb,2010
436,40.00,120.92,4520,8.90,Feb,2010
437,40.30,121.24,4530,4.34,Feb,2010
439,41.31,122.80,3185,2.21,Feb,2010
441,39.69,121.82,185,4.14,Feb,2010
442,37.97,119.92,4765,7.39,Feb,2010
443,39.33,121.19,595,4.70,Feb,2010
445,38.25,120.84,658,2.97,Feb,2010
446,36.14,120.36,670,1.66,Feb,2010
448,41.45,120.87,4315,1.27,Feb,2010
449,37.25,119.71,2230,6.40,Feb,2010
450,39.10,120.96,2400,5.80,Feb,2010
451,41.98,122.34,2703,1.25,Feb,2010
453,34.02,118.29,185,4.27,Feb,2010
456,39.44,121.07,2503,6.62,Feb,2010
457,32.93,116.56,4870,8.84,Feb,2010
459,39.82,123.24,1410,4.27,Feb,2010
460,34.85,116.79,1922,1.58,Feb,2010
462,38.53,121.78,60,2.87,Feb,2010
463,39.87,121.61,2710,9.62,Feb,2010
464,36.46,116.86,-194,1.53,Feb,2010
467,36.91,119.09,1720,8.49,Feb,2010
469,39.97,120.08,4390,0.91,Feb,2010
470,39.32,120.23,5937,3.77,Feb,2010
471,40.02,120.10,4240,1.08,Feb,2010
475,41.18,122.28,2170,11.71,Feb,2010
476,39.56,120.82,2915,6.92,Feb,2010
478,35.98,118.63,6700,9.82,Feb,2010
480,40.81,124.16,20,4.20,Feb,2010
483,37.93,119.23,9645,3.27,Feb,2010
484,32.88,116.81,800,4.63,Feb,2010
489,33.67,117.33,1285,3.92,Feb,2010
490,39.36,122.52,1200,2.94,Feb,2010
491,37.59,120.27,879,3.68,Feb,2010
492,36.78,119.72,372,2.95,Feb,2010
493,38.52,120.71,2160,4.21,Feb,2010
495,38.27,122.07,40,4.14,Feb,2010
496,37.27,118.96,7200,2.51,Feb,2010
497,41.02,121.44,3310,1.43,Feb,2010
498,34.70,118.43,3060,3.75,Feb,2010
499,41.86,120.15,4500,0.49,Feb,2010
500,41.60,122.85,2725,1.46,Feb,2010
501,38.70,121.17,350,2.64,Feb,2010
502,38.51,123.24,112,5.88,Feb,2010
503,36.99,119.69,581,3.57,Feb,2010
504,39.51,123.76,120,5.37,Feb,2010
506,39.01,120.85,3020,8.91,Feb,2010
507,41.85,123.97,384,10.70,Feb,2010
510,37.75,119.13,8970,3.27,Feb,2010
511,38.92,120.79,3011,7.96,Feb,2010
514,39.16,120.86,3320,7.61,Feb,2010
515,35.73,118.70,3140,5.18,Feb,2010
519,39.20,121.07,2400,6.35,Feb,2010
520,40.14,120.94,3560,4.87,Feb,2010
521,36.74,118.96,6600,5.94,Feb,2010
522,37.82,120.10,3145,7.55,Feb,2010
523,41.55,122.92,2820,2.25,Feb,2010
526,40.93,121.54,3015,1.61,Feb,2010
527,36.37,118.65,8500,7.79,Feb,2010
528,36.14,117.95,3825,1.93,Feb,2010
529,37.94,119.79,3870,5.90,Feb,2010
531,36.32,119.63,242,1.99,Feb,2010
532,38.62,122.87,108,7.54,Feb,2010
533,39.24,121.27,800,3.32,Feb,2010
535,37.23,119.22,7020,8.08,Feb,2010
536,36.85,121.42,275,3.28,Feb,2010
538,41.80,123.38,1120,5.29,Feb,2010
539,40.36,122.97,2750,6.57,Feb,2010
540,36.18,118.62,7100,11.50,Feb,2010
542,40.62,123.46,1275,6.50,Feb,2010
545,36.80,118.20,3950,0.86,Feb,2010
546,35.65,117.82,2440,0.69,Feb,2010
547,32.83,115.58,0,0.55,Feb,2010
548,35.63,118.48,2515,2.96,Feb,2010
549,41.79,124.08,120,9.84,Feb,2010
550,41.27,120.29,5400,0.50,Feb,2010
552,34.49,119.51,2200,6.16,Feb,2010
555,36.21,121.13,320,2.72,Feb,2010
556,41.58,124.07,28,9.62,Feb,2010
558,35.78,118.44,2703,3.03,Feb,2010
559,33.55,117.78,35,2.84,Feb,2010
563,37.21,118.61,9065,1.40,Feb,2010
566,33.94,118.39,97,3.23,Feb,2010
568,36.60,118.73,6735,8.71,Feb,2010
569,36.38,119.03,513,4.04,Feb,2010
572,37.96,119.12,6797,3.26,Feb,2010
573,33.81,118.15,31,4.64,Feb,2010
575,36.20,119.06,420,2.56,Feb,2010
576,34.27,117.18,5130,10.39,Feb,2010
579,37.05,120.87,120,2.06,Feb,2010
581,34.21,119.14,63,4.08,Feb,2010
582,34.73,120.22,800,3.51,Feb,2010
583,39.32,120.64,5156,7.00,Feb,2010
586,34.23,117.48,2730,12.19,Feb,2010
587,37.88,119.86,4510,6.09,Feb,2010
590,37.29,120.51,153,2.94,Feb,2010
592,41.25,122.14,3280,7.85,Feb,2010
593,36.95,120.04,270,3.26,Feb,2010
595,37.35,121.63,4198,4.05,Feb,2010
596,41.32,122.32,3590,8.03,Feb,2010
598,40.35,121.61,4875,6.63,Feb,2010
600,38.69,119.78,5530,2.34,Feb,2010
603,36.24,118.71,5400,10.90,Feb,2010
605,40.54,121.58,5750,2.77,Feb,2010
606,37.65,121.00,91,3.10,Feb,2010
608,35.05,118.16,2735,2.01,Feb,2010
609,37.49,119.99,2100,4.93,Feb,2010
610,41.78,122.04,4250,0.61,Feb,2010
611,35.47,115.54,4730,1.61,Feb,2010
613,34.23,118.07,5733,8.77,Feb,2010
614,38.89,121.60,32,2.18,Feb,2010
615,35.69,117.69,2283,0.77,Feb,2010
616,33.28,115.52,-60,0.64,Feb,2010
617,38.00,120.49,960,5.40,Feb,2010
618,37.23,119.51,2630,7.50,Feb,2010
619,38.28,122.26,35,3.98,Feb,2010
620,39.25,121.00,2781,8.00,Feb,2010
621,40.03,124.07,246,8.53,Feb,2010
622,41.84,122.85,1980,1.68,Feb,2010
624,33.21,117.35,30,1.45,Feb,2010
626,39.75,122.20,254,3.92,Feb,2010
627,41.31,123.53,400,5.94,Feb,2010
628,39.52,121.55,171,4.20,Feb,2010
634,36.61,120.88,1400,2.44,Feb,2010
636,38.76,120.50,3450,5.94,Feb,2010
637,36.83,119.32,615,3.86,Feb,2010
640,38.70,120.83,1850,2.76,Feb,2010
641,34.59,118.09,2596,2.49,Feb,2010
642,39.37,123.13,1440,7.47,Feb,2010
643,39.81,120.47,4850,3.12,Feb,2010
644,35.63,120.69,700,3.28,Feb,2010
645,39.75,121.62,1725,8.58,Feb,2010
647,38.44,120.51,3000,4.51,Feb,2010
648,40.99,121.98,1458,11.12,Feb,2010
649,36.19,120.70,2300,5.40,Feb,2010
651,33.82,116.50,474,0.75,Feb,2010
652,40.98,121.51,2880,1.37,Feb,2010
655,39.94,120.95,3420,4.76,Feb,2010
656,35.37,117.65,357,2.04,Feb,2010
657,40.15,122.25,353,4.73,Feb,2010
659,40.52,122.30,502,6.49,Feb,2010
661,36.11,118.64,6200,8.82,Feb,2010
663,40.03,123.79,500,9.14,Feb,2010
666,40.81,121.94,2100,7.81,Feb,2010
670,38.51,121.50,21,2.29,Feb,2010
671,38.59,121.50,27,2.28,Feb,2010
672,32.73,117.18,15,2.28,Feb,2010
673,34.42,119.68,5,4.56,Feb,2010
674,34.13,117.25,1140,4.93,Feb,2010
675,35.31,120.66,315,4.45,Feb,2010
676,38.00,121.32,12,2.90,Feb,2010
677,40.49,124.10,36,6.20,Feb,2010
678,36.99,121.99,130,5.78,Feb,2010
679,36.06,118.92,692,3.54,Feb,2010
680,39.58,120.37,4975,2.04,Feb,2010
681,37.62,122.38,13,3.42,Feb,2010
682,37.77,122.43,150,3.42,Feb,2010
683,39.43,120.24,6337,3.76,Feb,2010
685,40.71,122.42,1075,12.02,Feb,2010
686,39.57,120.62,4240,9.42,Feb,2010
688,41.78,122.47,2644,0.55,Feb,2010
690,37.05,121.06,277,2.02,Feb,2010
691,38.72,120.57,3530,4.98,Feb,2010
695,38.56,121.42,49,2.28,Feb,2010
696,34.90,120.45,254,2.79,Feb,2010
697,33.68,117.87,50,3.72,Feb,2010
699,36.66,121.67,45,3.70,Feb,2010
700,39.33,120.37,6885,6.73,Feb,2010
701,37.97,120.39,1675,5.15,Feb,2010
702,37.17,118.57,9580,1.65,Feb,2010
703,38.50,120.22,3700,5.06,Feb,2010
704,34.31,119.13,237,4.88,Feb,2010
709,33.74,117.87,135,4.21,Feb,2010
712,41.74,121.51,4770,1.37,Feb,2010
713,39.88,123.73,850,7.71,Feb,2010
714,39.59,122.53,800,3.95,Feb,2010
715,38.44,122.70,174,4.46,Feb,2010
716,39.56,121.11,3808,9.60,Feb,2010
718,40.42,120.67,4555,1.69,Feb,2010
721,39.17,120.14,6230,2.86,Feb,2010
722,38.45,120.48,2355,5.08,Feb,2010
723,39.33,120.19,6020,2.70,Feb,2010
725,36.41,119.00,752,5.11,Feb,2010
728,37.68,121.35,135,1.81,Feb,2010
729,36.47,118.86,1140,6.34,Feb,2010
730,40.73,122.79,1860,4.68,Feb,2010
731,41.96,121.47,4035,0.42,Feb,2010
733,38.71,120.04,8000,4.67,Feb,2010
735,34.13,116.04,1975,0.34,Feb,2010
737,39.15,123.21,636,4.38,Feb,2010
738,39.13,123.20,626,4.09,Feb,2010
741,36.33,119.30,325,2.65,Feb,2010
744,40.46,121.87,2220,6.27,Feb,2010
746,39.81,120.19,4950,2.50,Feb,2010
748,35.60,119.35,345,0.82,Feb,2010
750,38.69,121.79,70,3.29,Feb,2010
751,40.73,122.94,2040,5.29,Feb,2010
754,40.95,123.64,461,6.09,Feb,2010
757,40.61,122.53,1295,14.48,Feb,2010
758,38.47,120.37,1950,5.46,Feb,2010
759,39.42,123.34,1350,5.17,Feb,2010
761,36.93,121.77,95,5.27,Feb,2010
762,41.37,122.64,2625,1.23,Feb,2010
763,37.51,119.65,5120,6.71,Feb,2010
764,37.75,119.59,3966,6.54,Feb,2010
770,37.09,119.51,2090,2.52,Mar,2010
771,40.98,124.11,223,6.74,Mar,2010
772,41.19,120.94,4195,1.79,Mar,2010
773,41.49,120.55,4400,1.58,Mar,2010
774,38.57,122.44,1715,4.11,Mar,2010
775,38.28,120.31,4695,3.99,Mar,2010
777,36.49,118.83,1708,3.07,Mar,2010
779,36.46,118.63,6400,4.23,Mar,2010
780,38.91,121.08,1292,3.29,Mar,2010
783,39.13,121.45,113,1.36,Mar,2010
784,34.89,117.02,2320,0.22,Mar,2010
785,40.74,123.21,1250,2.19,Mar,2010
786,34.24,116.90,6760,0.11,Mar,2010
787,37.21,119.24,4878,2.80,Mar,2010
788,38.21,119.01,8370,0.46,Mar,2010
792,35.43,119.05,497,0.25,Mar,2010
793,40.47,123.79,640,7.56,Mar,2010
794,37.37,118.36,4108,0.00,Mar,2010
795,36.26,121.78,200,3.86,Mar,2010
797,33.61,114.71,395,0.68,Mar,2010
799,39.28,120.71,5280,9.05,Mar,2010
800,40.88,121.68,3198,2.75,Mar,2010
801,39.39,120.09,5575,2.37,Mar,2010
802,39.45,120.66,5385,10.20,Mar,2010
804,38.26,119.23,6470,0.55,Mar,2010
805,39.69,121.35,3560,8.99,Mar,2010
806,36.68,118.86,6800,4.20,Mar,2010
807,39.92,121.35,1850,7.81,Mar,2010
808,40.87,121.85,3800,7.42,Mar,2010
811,40.17,121.09,4560,3.29,Mar,2010
813,41.42,120.90,4310,1.82,Mar,2010
814,34.58,119.98,800,0.26,Mar,2010
817,41.78,124.24,56,7.80,Mar,2010
818,41.80,124.21,40,10.36,Mar,2010
819,41.53,120.17,4670,1.19,Mar,2010
820,40.00,120.92,4520,7.17,Mar,2010
821,40.30,121.24,4530,3.39,Mar,2010
823,41.31,122.80,3185,1.91,Mar,2010
825,39.69,121.82,185,1.74,Mar,2010
826,37.97,119.92,4765,5.68,Mar,2010
827,39.33,121.19,595,3.48,Mar,2010
829,38.25,120.84,658,2.52,Mar,2010
830,36.14,120.36,670,0.31,Mar,2010
832,41.45,120.87,4315,1.81,Mar,2010
833,37.25,119.71,2230,5.26,Mar,2010
834,39.10,120.96,2400,3.78,Mar,2010
835,41.98,122.34,2703,1.82,Mar,2010
837,34.02,118.29,185,0.48,Mar,2010
840,39.44,121.07,2503,6.22,Mar,2010
841,32.93,116.56,4870,2.83,Mar,2010
843,39.82,123.24,1410,4.52,Mar,2010
844,34.85,116.79,1922,0.23,Mar,2010
846,38.53,121.78,60,1.11,Mar,2010
847,39.87,121.61,2710,4.89,Mar,2010
848,36.46,116.86,-194,0.02,Mar,2010
851,36.91,119.09,1720,2.86,Mar,2010
853,39.97,120.08,4390,1.24,Mar,2010
854,39.32,120.23,5937,5.83,Mar,2010
855,40.02,120.10,4240,0.90,Mar,2010
859,41.18,122.28,2170,7.36,Mar,2010
860,39.56,120.82,2915,8.91,Mar,2010
862,35.98,118.63,6700,4.72,Mar,2010
864,40.81,124.16,20,6.06,Mar,2010
867,37.93,119.23,9645,1.40,Mar,2010
868,32.88,116.81,800,1.03,Mar,2010
873,33.67,117.33,1285,0.44,Mar,2010
874,39.36,122.52,1200,0.84,Mar,2010
875,37.59,120.27,879,2.08,Mar,2010
876,36.78,119.72,372,0.96,Mar,2010
877,38.52,120.71,2160,5.99,Mar,2010
879,38.27,122.07,40,1.66,Mar,2010
880,37.27,118.96,7200,1.19,Mar,2010
881,41.02,121.44,3310,2.39,Mar,2010
882,34.70,118.43,3060,0.50,Mar,2010
883,41.86,120.15,4500,2.61,Mar,2010
884,41.60,122.85,2725,2.24,Mar,2010
885,38.70,121.17,350,2.89,Mar,2010
886,38.51,123.24,112,3.98,Mar,2010
887,36.99,119.69,581,1.31,Mar,2010
888,39.51,123.76,120,6.19,Mar,2010
890,39.01,120.85,3020,5.86,Mar,2010
891,41.85,123.97,384,12.79,Mar,2010
894,37.75,119.13,8970,2.29,Mar,2010
895,38.92,120.79,3011,6.21,Mar,2010
898,39.16,120.86,3320,6.22,Mar,2010
899,35.73,118.70,3140,1.57,Mar,2010
903,39.20,121.07,2400,4.72,Mar,2010
904,40.14,120.94,3560,4.78,Mar,2010
905,36.74,118.96,6600,4.89,Mar,2010
906,37.82,120.10,3145,4.61,Mar,2010
907,41.55,122.92,2820,2.18,Mar,2010
910,40.93,121.54,3015,2.26,Mar,2010
911,36.37,118.65,8500,3.62,Mar,2010
912,36.14,117.95,3825,0.00,Mar,2010
913,37.94,119.79,3870,4.61,Mar,2010
915,36.32,119.63,242,0.31,Mar,2010
916,38.62,122.87,108,5.44,Mar,2010
917,39.24,121.27,800,2.71,Mar,2010
919,37.23,119.22,7020,5.32,Mar,2010
920,36.85,121.42,275,2.50,Mar,2010
922,41.80,123.38,1120,7.19,Mar,2010
923,40.36,122.97,2750,3.21,Mar,2010
924,36.18,118.62,7100,5.63,Mar,2010
926,40.62,123.46,1275,5.00,Mar,2010
929,36.80,118.20,3950,0.00,Mar,2010
930,35.65,117.82,2440,0.00,Mar,2010
931,32.83,115.58,0,0.66,Mar,2010
932,35.63,118.48,2515,0.66,Mar,2010
933,41.79,124.08,120,10.75,Mar,2010
934,41.27,120.29,5400,1.82,Mar,2010
936,34.49,119.51,2200,0.48,Mar,2010
939,36.21,121.13,320,0.65,Mar,2010
